Date,Action,Price,Shares
2018-06-06,BUY,21.299999237060547,4694.835848914343
2018-07-26,SELL,20.44333267211914,4694.835848914343
2018-08-07,BUY,25.30466651916504,3792.9008480572425
2018-08-21,SELL,21.459999084472656,3792.9008480572425
2018-10-30,BUY,21.99333381652832,3700.9236255775795
2019-01-02,SELL,20.674667358398438,3700.9236255775795
2019-07-03,BUY,15.65999984741211,4886.038673257006
2019-08-19,SELL,15.121999740600586,4886.038673257006
2019-09-19,BUY,16.440000534057617,4494.323184265775
2020-03-17,SELL,28.68000030517578,4494.323184265775
2020-04-23,BUY,47.04199981689453,2740.044870499091
2020-10-30,SELL,129.34666442871094,2740.044870499091
2020-11-10,BUY,136.7866668701172,2591.0103118499433
2020-11-13,SELL,136.1666717529297,2591.0103118499433
2020-11-18,BUY,162.2133331298828,2174.9707242599834
2021-02-26,SELL,225.1666717529297,2174.9707242599834
2021-04-21,BUY,248.0399932861328,1974.4030494983037
2021-05-12,SELL,196.6300048828125,1974.4030494983037
2021-06-29,BUY,226.9199981689453,1710.853536031014
2021-12-17,SELL,310.8566589355469,1710.853536031014
2022-03-25,BUY,336.8800048828125,1578.6933223409044
2022-05-06,SELL,288.54998779296875,1578.6933223409044
2022-07-20,BUY,247.5,1840.533086425492
2022-09-29,SELL,268.2099914550781,1840.533086425492
2023-02-02,BUY,188.27000427246094,2622.0287469084524
2023-04-06,SELL,185.05999755859375,2622.0287469084524
2023-05-30,BUY,201.16000366210938,2412.172522707304
2023-08-11,SELL,242.64999389648438,2412.172522707304
2023-09-15,BUY,274.3900146484375,2133.144854641042
2023-10-20,SELL,211.99000549316406,2133.144854641042
2023-12-05,BUY,238.72000122070312,1894.2920037730437
